chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'3'	1620000	1635000	530	1.703655919609624e-09	8.766554626052785e-10	2.228217580384815e-09
b'3'	1635000	1650000	752	8.434734789920226e-10	2.1537614651409448e-10	1.7362369810059715e-09
b'3'	1650000	1665000	752	4.983803914699776e-10	3.429694202260533e-11	1.4498571943717292e-09
b'3'	1665000	1680000	467	2.8998956909910813e-10	1.1439039234967047e-11	1.1906618503001618e-09
b'3'	1680000	1695000	610	5.417255597453932e-10	9.207078521953932e-11	1.4940179824410704e-09
b'3'	1695000	1710000	754	2.641166856197756e-09	1.936079881280754e-09	2.9674798161839526e-09
b'3'	1710000	1725000	727	5.95351792228174e-10	7.817424699422517e-11	1.548651398149561e-09
b'3'	1725000	1740000	668	4.632742747903591e-10	1.1004355511627883e-10	1.3763657300139172e-09
b'3'	1740000	1755000	641	1.1330218499704858e-09	3.496466075180637e-10	1.8823171091430412e-09
b'3'	1755000	1770000	765	1.0121388518249313e-09	3.017991300593353e-10	1.8605321796374335e-09
b'3'	1770000	1785000	1145	1.7579058736127334e-09	8.509975390712994e-10	2.227261805510741e-09
b'3'	1785000	1800000	576	9.594733400058695e-10	2.3126485482690894e-10	1.789938847478991e-09
b'3'	1800000	1815000	997	1.7608415579708679e-09	8.539332234294338e-10	2.2301974898688755e-09
b'3'	1815000	1830000	1255	9.425162381603143e-10	2.363571486240075e-10	1.778112863386346e-09
b'3'	1830000	1845000	1063	7.140040859391579e-10	1.3365739023920656e-10	1.6433935957353098e-09
b'3'	1845000	1860000	538	5.666314250056974e-10	7.542817193330538e-11	1.5050484524241783e-09
b'3'	1860000	1875000	637	1.0814040681968577e-09	3.49277086934731e-10	1.8448522339938448e-09
b'3'	1875000	1890000	574	5.196144680883937e-10	5.553101864102141e-11	1.4710912709901453e-09
b'3'	1890000	1905000	1028	8.586744017818003e-10	1.7697726137846365e-10	1.7411924826176368e-09
b'3'	1905000	1920000	956	2.5237636869901798e-09	1.8100189681069884e-09	2.8827248255814203e-09
b'3'	1920000	1935000	929	8.224975978655597e-10	1.8144727948154192e-10	1.7336450386952114e-09
b'3'	1935000	1950000	873	5.893737148506523e-10	7.219616961670355e-11	1.5426733207720394e-09
b'3'	1950000	1965000	654	1.9728293112072198e-09	1.1245644500764545e-09	2.400213378232691e-09
b'3'	1965000	1980000	848	7.622577999361349e-10	1.4121248476165047e-10	1.645813201001685e-09
b'3'	1980000	1995000	877	2.6377168919138232e-09	1.9326299169968213e-09	2.96402985190002e-09
b'3'	1995000	2010000	645	6.00180807529547e-10	1.08977554457155e-10	1.5385978349480278e-09
b'3'	2010000	2025000	870	2.1503856288242027e-09	1.28530049751675e-09	2.5613970315142675e-09
b'3'	2025000	2040000	1135	2.8886745974370213e-09	2.15829827690239e-09	3.220088182900757e-09
b'3'	2040000	2055000	1070	6.434361636562306e-10	1.0796541813438177e-10	1.5314883371206677e-09
b'3'	2055000	2070000	1225	0	0	5.986470541508015e-10
b'3'	2070000	2085000	733	1.0158372464320838e-09	3.054975246664879e-10	1.864230574244586e-09
b'3'	2085000	2100000	747	3.845721297027706e-10	2.8181770811758373e-11	1.3292701939230324e-09
b'3'	2100000	2115000	500	7.739260712568373e-10	1.6971892027863957e-10	1.6730784626882943e-09
b'3'	2115000	2130000	535	1.2746784937530873e-09	4.386240541850637e-10	1.960037108058274e-09
b'3'	2130000	2145000	754	5.727772657432264e-10	8.15740126708344e-11	1.5111942931617073e-09
b'3'	2145000	2160000	469	7.725063170677151e-10	1.5146100189323074e-10	1.656061718133265e-09
b'3'	2160000	2175000	501	6.412981470928738e-10	1.5074498233699357e-10	1.6017191176233802e-09
b'3'	2175000	2190000	889	5.968666465252826e-10	7.968910129133376e-11	1.5501662524466694e-09
b'3'	2190000	2205000	876	2.8441753412747506e-09	2.113799020740119e-09	3.175588926738486e-09
b'3'	2205000	2220000	777	1.315208629929713e-09	4.225032009066245e-10	1.9432847654745436e-09
b'3'	2220000	2235000	439	2.163326593118621e-10	0	1.1589090790053924e-09
b'3'	2235000	2250000	745	1.6540048587687497e-09	7.912754944316827e-10	2.128349755463595e-09
b'3'	2250000	2265000	1124	2.2225177166865628e-10	0	1.1373107613608976e-09
b'3'	2265000	2280000	791	2.493020345535706e-09	1.733114324094325e-09	2.859499647996182e-09
b'3'	2280000	2295000	1120	1.30980198715211e-09	4.170965581290215e-10	1.9378781226969403e-09
b'3'	2295000	2310000	1293	1.5716306273958636e-09	6.629196001371063e-10	2.140014417429741e-09
b'3'	2310000	2325000	1384	2.865603112850445e-09	2.1233610422666243e-09	3.1909244438355074e-09
b'3'	2325000	2340000	749	2.9508969610755903e-09	2.220520640540959e-09	3.282310546539326e-09
b'3'	2340000	2355000	973	4.506707408662318e-10	9.744002119215153e-11	1.36376219608979e-09
b'3'	2355000	2370000	1213	2.1509842639154238e-09	1.2858991326079711e-09	2.5619956666054886e-09
b'3'	2370000	2385000	997	7.746565844973688e-10	1.7044943351917117e-10	1.673808975928826e-09
b'3'	2385000	2400000	1165	3.52695298958904e-10	2.0720620656310563e-11	1.3347859771843152e-09
b'3'	2400000	2415000	540	2.424953167907003e-10	0	1.1575543064829415e-09
b'3'	2415000	2430000	1135	1.1874334695600322e-09	4.2309946097503293e-10	1.914894177898544e-09
b'3'	2430000	2445000	991	5.266403936182615e-10	6.255694417088929e-11	1.4781171965200133e-09
b'3'	2445000	2460000	1481	1.3026918310582455e-09	4.0998640203515706e-10	1.930767966603076e-09
b'3'	2460000	2475000	1447	1.6016560210773654e-09	7.288034072793735e-10	2.1346774369712067e-09
b'3'	2475000	2490000	858	4.276653093620815e-10	3.937355783242462e-11	1.3712616992750076e-09
b'3'	2490000	2505000	1117	9.886353792587998e-10	2.449438653318524e-10	1.8193188901250365e-09
b'3'	2505000	2520000	284	1.5766336487741259e-09	6.679226215153686e-10	2.1450174388080032e-09
b'3'	2520000	2535000	1589	1.1914247180138198e-09	4.270907094288205e-10	1.918885426352332e-09
b'3'	2535000	2550000	1295	8.435733594951286e-10	2.1547602701720053e-10	1.7363368615090776e-09
b'3'	2550000	2565000	1293	5.698288631403012e-10	1.2017408861444733e-10	1.5221212858359785e-09
b'3'	2565000	2580000	1117	4.301424170379696e-11	0	8.046491218680273e-10
b'3'	2580000	2595000	981	1.1473797190175169e-09	3.6400447656509475e-10	1.8966749781900722e-09
b'3'	2595000	2610000	720	1.6141170402278312e-09	7.37462996425726e-10	2.1461948442663536e-09
b'3'	2610000	2625000	717	1.158731264966802e-09	3.8409255484529083e-10	1.8935025254689445e-09
b'3'	2625000	2640000	966	6.845563117177525e-10	1.3996734335246316e-10	1.6168809847374873e-09
b'3'	2640000	2655000	322	1.2926180672661328e-10	0	8.5296862064759e-10
b'3'	2655000	2670000	1288	2.9659464085241525e-10	1.804411098827417e-11	1.197266922053469e-09
b'3'	2670000	2685000	1263	6.428953934672582e-10	1.0742464794540936e-10	1.5309475669316952e-09
b'3'	2685000	2700000	1228	2.184148986625432e-10	0	1.1609913183560735e-09
b'3'	2700000	2715000	1049	4.716355288827108e-10	1.1840480920863052e-10	1.384726984106269e-09
b'3'	2715000	2730000	1310	1.0065066752110765e-09	2.628151612841291e-10	1.8371901860773132e-09
b'3'	2730000	2745000	1025	8.456593119683055e-10	2.1756197949037739e-10	1.7384228139822545e-09
b'3'	2745000	2760000	797	1.046521289000393e-09	3.2619255761533706e-10	1.8401631245840067e-09
b'3'	2760000	2775000	1311	6.55027684798138e-10	1.195569392762892e-10	1.5430798582625752e-09
b'3'	2775000	2790000	699	6.510542393887814e-10	1.6050107463290112e-10	1.6114752099192877e-09
b'3'	2790000	2805000	1167	1.0988166564593458e-09	3.666896751972191e-10	1.862264822256333e-09
b'3'	2805000	2820000	923	8.434291458046409e-10	2.1533181332671282e-10	1.7361926478185899e-09
b'3'	2820000	2835000	550	3.0822958028592617e-10	0	1.2316360537934524e-09
b'3'	2835000	2850000	1165	1.7730861401068865e-09	8.661778055654524e-10	2.242442072004894e-09
b'3'	2850000	2865000	597	1.156766316053479e-09	3.8212760593196773e-10	1.8915375765556214e-09
b'3'	2865000	2880000	704	2.2650722171216417e-09	1.4273378130527735e-09	2.661959079385554e-09
b'3'	2880000	2895000	967	1.3350308648330716e-09	5.080910870681371e-10	1.978837583880362e-09
b'3'	2895000	2910000	478	5.656090952254022e-10	7.440584215301024e-11	1.5040261226438832e-09
b'3'	2910000	2925000	1156	2.2952096693375098e-09	1.546081709672535e-09	2.6454661098552916e-09
b'3'	2925000	2940000	1013	1.2610925812965365e-09	4.048540442795409e-10	1.942296013847495e-09
b'3'	2940000	2955000	1186	1.5142431157051298e-09	6.883781073803077e-10	2.0757046707315847e-09
b'3'	2955000	2970000	1176	1.0572320649624037e-09	3.369033335773478e-10	1.8508739005460174e-09
b'3'	2970000	2985000	836	1.0685924255387395e-09	3.482636941536836e-10	1.8622342611223532e-09
b'3'	2985000	3000000	401	1.861906136096558e-09	1.0941594504261906e-09	2.292209295867331e-09
b'3'	3000000	3015000	501	5.964442975316095e-10	7.92667522976607e-11	1.5497439034529965e-09
b'3'	3015000	3030000	887	1.760668536430682e-09	8.537602018892479e-10	2.23002446832869e-09
b'3'	3030000	3045000	995	6.924426848552166e-10	1.478537164899273e-10	1.6247673578749513e-09
b'3'	3045000	3060000	858	6.79406900771846e-10	1.439361552499972e-10	1.5674590742362832e-09
b'3'	3060000	3075000	1081	0	0	5.986470541508015e-10
b'3'	3075000	3090000	1113	2.1387120701033966e-09	1.273626938795944e-09	2.5497234727934614e-09
b'3'	3090000	3105000	1194	1.1728787982403453e-09	3.9824008811883407e-10	1.907650058742488e-09
b'3'	3105000	3120000	1390	1.7044961070253478e-09	8.774956500210023e-10	2.2290577678005387e-09
b'3'	3120000	3135000	1105	5.108458171734927e-10	4.676236772612042e-11	1.4623226200752445e-09
b'3'	3135000	3150000	760	1.5900847850476157e-09	7.172321712496238e-10	2.1231062009414574e-09
b'3'	3150000	3165000	796	1.306866003750553e-09	4.141605747274645e-10	1.934942139295383e-09
b'3'	3165000	3180000	189	7.547587877119145e-10	1.3371347253743009e-10	1.6383141887774644e-09
b'3'	3240000	3255000	284	5.26429415017311e-11	0	8.142778216659614e-10
b'3'	3255000	3270000	552	5.452327908447298e-10	9.557801631887589e-11	1.497525213540407e-09
b'3'	3270000	3285000	744	9.524021153015753e-10	2.462430257652685e-10	1.787998740527607e-09
b'3'	3285000	3300000	808	5.688162362502868e-10	7.761298317789478e-11	1.5072332636687677e-09
b'3'	3300000	3315000	450	2.901149679742652e-10	1.1564438110124106e-11	1.1907872491753189e-09
b'3'	3315000	3330000	868	2.448869618917234e-10	0	1.2084639745165624e-09
b'3'	3330000	3345000	510	8.374759887123254e-10	2.0937865623439724e-10	1.7302394907262745e-09
b'3'	3345000	3360000	798	2.6652150115808178e-09	1.8982978567988747e-09	2.9891578396984694e-09
b'3'	3360000	3375000	897	1.2589773537183139e-09	4.027388167013183e-10	1.9401807862692726e-09
b'3'	3375000	3390000	844	2.0915209845807733e-09	1.2452120089036053e-09	2.518485742574304e-09
b'3'	3390000	3405000	1061	3.2361925193666606e-10	0	1.2470257254441923e-09
b'3'	3405000	3420000	1331	2.8706980153202624e-09	2.128455944736442e-09	3.1960193463053247e-09
b'3'	3420000	3435000	1074	1.880936932376542e-09	1.030560235539468e-09	2.359708771217583e-09
b'3'	3435000	3450000	830	1.0776528854095845e-09	2.856431553877813e-10	1.812216606370619e-09
b'3'	3450000	3465000	833	3.0174400037631935e-09	2.287063683228562e-09	3.348853589226929e-09
b'3'	3465000	3480000	1079	1.5941675002932166e-09	7.213148864952247e-10	2.127188916187058e-09
b'3'	3480000	3495000	1083	8.560693125480212e-10	2.2797198007009303e-10	1.74883281456197e-09
b'3'	3495000	3510000	1316	1.7615575177648393e-09	8.546491832234052e-10	2.230913449662847e-09
b'3'	3510000	3525000	1298	9.40164131137058e-10	2.1195564595809745e-10	1.7706296386101796e-09
b'3'	3525000	3540000	1187	1.122020235589906e-09	3.3864499313748394e-10	1.8713154947624614e-09
b'3'	3540000	3555000	1494	1.7392992960647544e-09	8.586831216390576e-10	2.2480843434908844e-09
b'3'	3555000	3570000	1283	6.864197509643241e-10	1.4183078259903475e-10	1.6187444239840587e-09
b'3'	3570000	3585000	1192	1.4455664236492547e-09	5.833382889255576e-10	2.027569869086606e-09
b'3'	3585000	3600000	1449	1.9913841336632142e-09	1.1826775514072563e-09	2.4316490970382286e-09
b'3'	3600000	3615000	1429	1.128120416134866e-09	3.4474517368244396e-10	1.8774156753074214e-09
b'3'	3615000	3630000	1085	2.866261955350724e-09	2.1240198847669035e-09	3.191583286335786e-09
b'3'	3630000	3645000	1255	1.8570899919370562e-09	1.0893433062666888e-09	2.287393151707829e-09
b'3'	3645000	3660000	943	6.009013902218619e-10	8.37238449879131e-11	1.5542009961432489e-09
b'3'	3660000	3675000	1274	1.660818139504954e-09	7.98088775167887e-10	2.135163036199799e-09
b'3'	3675000	3690000	1239	8.799884974360133e-10	1.982913570326766e-10	1.7625065782718497e-09
b'3'	3690000	3705000	1596	1.2651390708769041e-09	4.2908463130888053e-10	1.9504976851820907e-09
b'3'	3705000	3720000	1247	5.201894787492393e-10	5.610602930186708e-11	1.471666281650991e-09
b'3'	3720000	3735000	1185	1.4545137530090834e-09	5.922856182853864e-10	2.0365171984464347e-09
b'3'	3735000	3750000	1167	2.260925481663346e-09	1.423191077594478e-09	2.6578123439272584e-09
b'3'	3750000	3765000	1284	8.344190173260927e-10	2.0632168484816462e-10	1.7271825193400417e-09
b'3'	3765000	3780000	1126	1.51483743958701e-09	6.889724312621879e-10	2.0762989946134644e-09
b'3'	3780000	3795000	1058	6.96257171451268e-11	0	8.312605973093571e-10
b'3'	3795000	3810000	1042	3.7985980258636326e-10	7.8826185108344e-11	1.2977439046448715e-09
b'3'	3810000	3825000	1376	4.942762302697918e-10	1.0437456098547136e-10	1.4364681131165131e-09
b'3'	3825000	3840000	1178	7.318618127961398e-10	1.5151511709618844e-10	1.6612513225922917e-09
b'3'	3840000	3855000	1140	7.590240265405245e-10	1.7867733084057313e-10	1.6884135363366764e-09
b'3'	3855000	3870000	1243	7.058811480148893e-10	1.6129217964959994e-10	1.6382058210346241e-09
b'3'	3870000	3885000	1261	4.285841701182009e-10	4.029241858854403e-11	1.3721805600311271e-09
b'3'	3885000	3900000	1079	4.474868045338749e-10	5.919505300421802e-11	1.391083194446801e-09
b'3'	3900000	3915000	1169	7.042962178757811e-10	1.597072495104918e-10	1.6366208908955158e-09
b'3'	3915000	3930000	1408	8.264842988353287e-10	1.983869663574006e-10	1.7192478008492779e-09
b'3'	3930000	3945000	999	1.3936682306587327e-09	5.747186253063957e-10	2.009699068111274e-09
b'3'	3945000	3960000	1304	2.799523572967019e-09	2.0691472524323874e-09	3.1309371584307545e-09
b'3'	3960000	3975000	1088	8.598943992643503e-10	1.7819725886101361e-10	1.7424124801001867e-09
b'3'	3975000	3990000	1290	1.7083702394837737e-09	8.813697824794283e-10	2.232931900258965e-09
b'3'	3990000	4005000	1392	1.5689256799584522e-09	6.60214652699695e-10	2.13730946999233e-09
b'3'	4005000	4020000	1188	5.691388044219946e-10	7.793555134960263e-11	1.5075558318404756e-09
b'3'	4020000	4035000	1247	1.0111638456662424e-09	3.0082412390064644e-10	1.8595571734787446e-09
b'3'	4035000	4050000	1003	1.62313813363187e-09	7.464840898297648e-10	2.1552159376703923e-09
b'3'	4050000	4065000	1278	3.1821623506056057e-10	0	1.2416227085680868e-09
b'3'	4065000	4080000	1033	5.53888054461943e-10	1.0423327993608907e-10	1.5061804771576202e-09
b'3'	4080000	4095000	1278	1.914372422420706e-09	1.0412067770775846e-09	2.3771232101093543e-09
b'3'	4095000	4110000	994	8.06072139480513e-10	1.6502182109649527e-10	1.7172195803101648e-09
b'3'	4110000	4125000	1307	7.121095960172196e-10	1.3176290031726819e-10	1.6414991058133715e-09
b'3'	4125000	4140000	1387	5.125346649019103e-10	4.845121545453808e-11	1.4640114678036621e-09
b'3'	4140000	4155000	1308	2.436703333918925e-09	1.5510569443599113e-09	2.814393946037822e-09
b'3'	4155000	4170000	1058	1.4355072912145258e-09	6.098018066727758e-10	2.0442020358227553e-09
b'3'	4170000	4185000	1006	6.085751434859475e-10	9.13975982519987e-11	1.5618747494073346e-09
b'3'	4185000	4200000	966	6.004398665398449e-10	8.326232130589606e-11	1.5537394724612318e-09
b'3'	4200000	4215000	1298	4.554006109983501e-10	1.0216989132426983e-10	1.3684920662219082e-09
b'3'	4215000	4230000	1390	1.16746004576165e-09	3.928213356401388e-10	1.9022313062637925e-09
b'3'	4230000	4245000	1056	1.0224202269067724e-10	0	9.096055931337642e-10
b'3'	4245000	4260000	978	1.566408731152636e-09	6.576977038938787e-10	2.134792521186513e-09
b'3'	4260000	4275000	1198	6.842286598078626e-10	1.3963969144257332e-10	1.6165533328275973e-09
b'3'	4275000	4290000	1270	7.688222473249161e-10	1.6461509634671845e-10	1.6679746387563732e-09
b'3'	4290000	4305000	1168	6.57510841697215e-10	1.220400961753662e-10	1.5455630151616523e-09
b'3'	4305000	4320000	1250	2.5209168434488047e-09	1.8071721245656133e-09	2.8798779820400452e-09
b'3'	4320000	4335000	1427	4.99021550978738e-10	1.0911988169441751e-10	1.4412134338254593e-09
b'3'	4335000	4350000	1091	1.1873085099049018e-09	4.2297450131990256e-10	1.914769218243414e-09
b'3'	4350000	4365000	1188	1.1673599518786018e-09	3.9272124175709055e-10	1.9021312123807446e-09
b'3'	4365000	4380000	1259	1.123194734861741e-09	3.398194924093188e-10	1.8724899940342965e-09
b'3'	4380000	4395000	1004	1.2528825248046016e-09	3.9664398778760606e-10	1.9340859573555603e-09
b'3'	4395000	4410000	866	3.353391177619801e-10	3.3644394593866556e-12	1.3174297959873913e-09
b'3'	4410000	4425000	1037	1.5790890693957683e-09	6.703780421370111e-10	2.147472859429646e-09
b'3'	4425000	4440000	1294	2.1217137081364757e-09	1.3121836318297898e-09	2.515038780648361e-09
b'3'	4440000	4455000	1704	5.650284525801e-10	7.382519950770797e-11	1.503445479998581e-09
b'3'	4455000	4470000	1478	4.199571404349018e-10	6.356678154388954e-11	1.3646552046551635e-09
b'3'	4470000	4485000	1604	5.89257748118008e-10	9.805449504561596e-11	1.527674775536489e-09
b'3'	4485000	4500000	907	7.084882584125813e-10	1.6389929004729195e-10	1.640812931432316e-09
b'3'	4500000	4515000	981	7.426856894725586e-10	1.6233899377260723e-10	1.6720751992687107e-09
b'3'	4515000	4530000	1412	2.112821303085241e-09	1.3032912267785553e-09	2.5061463755971265e-09
b'3'	4530000	4545000	1309	6.010348755441305e-10	1.0983162247173851e-10	1.5394519029626113e-09
b'3'	4545000	4560000	1173	3.9459895597715736e-10	3.820859708614512e-11	1.3392970201974191e-09
b'3'	4560000	4575000	1325	6.560169148252951e-10	1.6546375006941485e-10	1.6164378853558014e-09
b'3'	4575000	4590000	954	7.524273280030467e-10	1.720806323030953e-10	1.6818168377991986e-09
b'3'	4590000	4605000	1150	3.227591033724922e-10	0	1.2461655768800185e-09
b'3'	4605000	4620000	1510	1.883601708314201e-09	1.0332250114771269e-09	2.3623735471552418e-09
b'3'	4620000	4635000	1279	9.508697171236817e-10	2.447106275873749e-10	1.7864663423497134e-09
b'3'	4635000	4650000	1233	1.0927087630861142e-09	3.605817818239875e-10	1.8561569288831013e-09
b'3'	4650000	4665000	1256	1.1951917138471693e-10	0	8.432259853056937e-10
b'3'	4665000	4680000	1232	1.9438954352258463e-09	1.1415279794158748e-09	2.4183295161362594e-09
b'3'	4680000	4695000	1456	1.7712601311286945e-09	8.643517965872604e-10	2.240616063026702e-09
b'3'	4695000	4710000	1375	1.1641622276064895e-09	3.895235174849782e-10	1.8989334881086323e-09
b'3'	4710000	4725000	1013	2.383693260146671e-09	1.648519077504431e-09	2.744038524884942e-09
b'3'	4725000	4740000	1087	2.3768820477941384e-09	1.6417078651518987e-09	2.7372273125324096e-09
b'3'	4740000	4755000	1090	8.280222293165382e-10	1.9992489683861008e-10	1.7207857313304874e-09
b'3'	4755000	4770000	1040	6.917817988915508e-10	1.4719283052626149e-10	1.6241064719112855e-09
b'3'	4770000	4785000	893	1.262971745243073e-09	4.067332082260775e-10	1.9441751777940316e-09
b'3'	4785000	4800000	1139	9.887868322921398e-10	2.4509531836519244e-10	1.8194703431583766e-09
b'3'	4800000	4815000	1228	4.105681737806505e-10	5.4177814889638286e-11	1.3552662380009123e-09
b'3'	4815000	4830000	1188	9.366046231834374e-10	2.3044553364713063e-10	1.7722012484094691e-09
b'3'	4830000	4845000	952	7.510209267871549e-10	1.706742310872035e-10	1.6804104365833068e-09
b'3'	4845000	4860000	1069	4.385588631559364e-10	5.026711162627955e-11	1.3821552530688627e-09
b'3'	4860000	4875000	899	2.202503482884963e-09	1.4462166969104605e-09	2.5909032507882436e-09
b'3'	4875000	4890000	752	1.5972502392543524e-09	7.243976254563605e-10	2.130271655148194e-09
b'3'	4890000	4905000	948	5.180733976512483e-10	5.3989948203876015e-11	1.469550200553e-09
b'3'	4905000	4920000	1008	2.4054624693338355e-10	0	1.2041232595582225e-09
b'3'	4920000	4935000	853	5.022559547956381e-10	1.123542855113176e-10	1.4444478376423593e-09
b'3'	4935000	4950000	824	8.660419122817994e-10	2.379445798038713e-10	1.7588054142957483e-09
b'3'	4950000	4965000	1040	5.220294430871467e-10	5.794599363977447e-11	1.4735062459888985e-09
b'3'	4965000	4980000	1198	1.7627780836235204e-10	0	1.086794209527036e-09
b'3'	4980000	4995000	1118	8.520333949772259e-10	1.703362545738892e-10	1.7345514758130623e-09
b'3'	4995000	5010000	1080	5.690722832814439e-10	1.1941750875559001e-10	1.5213647059771211e-09
b'3'	5010000	5025000	953	2.285933491894101e-09	1.5368055322291264e-09	2.636189932411883e-09
b'3'	5025000	5040000	974	6.451270548480351e-10	1.0965630932618624e-10	1.533179228312472e-09
b'3'	5040000	5055000	1474	7.975863836432718e-10	1.5653606525925402e-10	1.7087338244729235e-09
b'3'	5055000	5070000	1125	8.64948108502722e-10	1.832509680993853e-10	1.7474661893385584e-09
b'3'	5070000	5085000	1001	9.832642478876153e-10	2.3957273396066794e-10	1.813947758753852e-09
b'3'	5085000	5100000	950	1.438578429782898e-09	6.12872945241148e-10	2.047273174391127e-09
b'3'	5100000	5115000	881	1.0633947019721618e-09	3.430659705871059e-10	1.8570365375557755e-09
b'3'	5115000	5130000	1303	7.603680947089562e-10	1.3932277953447182e-10	1.6439234957745064e-09
b'3'	5130000	5145000	1093	1.0679305053832375e-09	3.4760177399818157e-10	1.8615723409668512e-09
b'3'	5145000	5160000	1111	1.2627093056888814e-09	4.266548661208578e-10	1.9480679199940684e-09
b'3'	5160000	5175000	883	1.5312821195870738e-09	6.630498682150706e-10	2.108677578809603e-09
b'3'	5175000	5190000	917	6.350975814090322e-10	1.445444166531519e-10	1.5955185519395386e-09
b'3'	5190000	5205000	782	7.668128748881777e-10	1.6260572390998006e-10	1.6659652663196348e-09
b'3'	5205000	5220000	593	5.766434984712421e-10	8.544024539885007e-11	1.515060525889723e-09
b'3'	5220000	5235000	423	4.1957618478418054e-10	3.128443325452367e-11	1.3631725746971067e-09
b'3'	5235000	5250000	201	1.1920960798423792e-09	4.2776207125738e-10	1.919556788180891e-09
b'3'	5250000	5265000	226	1.2044985167379022e-09	4.251594970303987e-10	1.8872436715942366e-09
b'3'	5280000	5295000	606	8.431496149654839e-10	2.1505228248755577e-10	1.7359131169794328e-09
b'3'	5295000	5310000	515	8.725167480038084e-10	1.9081960760047166e-10	1.7550348288396448e-09
b'3'	5310000	5325000	965	2.4265739832568063e-10	0	1.1577163880179219e-09
b'3'	5325000	5340000	599	7.032247951336299e-10	1.586358267683406e-10	1.6355494681533647e-09
b'3'	5340000	5355000	720	2.854617339500671e-09	2.1242410189660396e-09	3.1860309249644067e-09
b'3'	5355000	5370000	232	1.0233139868189298e-09	3.0298525543387387e-10	1.8169558224025435e-09
b'3'	5370000	5385000	701	5.900230378019826e-10	7.284549256803379e-11	1.5433226437233697e-09
b'3'	5385000	5400000	688	1.1042917116499109e-09	3.721647303877842e-10	1.867739877446898e-09
b'3'	5400000	5415000	838	1.989847349515124e-09	1.1811407672591662e-09	2.4301123128901386e-09
b'3'	5415000	5430000	734	1.5753761462623408e-09	6.666651190035835e-10	2.1437599362962184e-09
b'3'	5430000	5445000	1151	5.196383521325989e-10	1.2973668284827842e-10	1.46183023497932e-09
b'3'	5445000	5460000	1017	1.977873326454646e-09	1.1296084653238808e-09	2.4052573934801174e-09
b'3'	5460000	5475000	796	7.589010873594432e-10	1.3785577218495877e-10	1.6424564884249931e-09
b'3'	5475000	5490000	1234	3.410482554215574e-10	9.07357711896397e-12	1.3231389336469686e-09
b'3'	5490000	5505000	948	9.421384466365899e-10	2.359793571002831e-10	1.7777350718626216e-09
b'3'	5505000	5520000	1247	1.3536570522902424e-09	4.997280997413655e-10	1.9600273729118503e-09
b'3'	5520000	5535000	949	9.446432343432254e-10	2.384841448069186e-10	1.7802398595692571e-09
b'3'	5535000	5550000	1217	1.3512679320873908e-09	4.973389795385139e-10	1.9576382527089984e-09
b'3'	5550000	5565000	1080	5.030744262319696e-10	3.8990976784597336e-11	1.4545512291337215e-09
b'3'	5565000	5580000	673	7.630158208718943e-10	1.588086698936966e-10	1.6621682123033514e-09
b'3'	5580000	5595000	878	8.66324929340074e-10	1.8462778893673728e-10	1.7488430101759102e-09
b'3'	5595000	5610000	654	6.632586057988618e-10	1.2778786027701298e-10	1.551310779263299e-09
b'3'	5610000	5625000	1330	1.0961979269786764e-09	3.640709457165497e-10	1.8596460927756635e-09
b'3'	5625000	5640000	924	1.570234991743181e-09	6.615239644844237e-10	2.1386187817770583e-09
b'3'	5640000	5655000	1172	6.451490289252025e-10	1.5459586416932222e-10	1.6055699994557088e-09
b'3'	5655000	5670000	1171	7.219354651117043e-10	1.415887694117529e-10	1.6513249749078562e-09
b'3'	5670000	5685000	612	3.032128817312797e-09	2.3017524967781656e-09	3.3635424027765327e-09
b'3'	5685000	5700000	406	1.358887014103322e-10	0	9.685398938498028e-10
b'3'	5700000	5715000	1345	1.0100176122279025e-09	2.9967789046230654e-10	1.8584109400404047e-09
b'3'	5715000	5730000	1199	3.352020011381811e-10	9.566657448391476e-12	1.2586084746457074e-09
b'3'	5730000	5745000	1344	3.049700496667639e-10	2.6419519802622794e-11	1.2056423308678175e-09
b'3'	5745000	5760000	1530	2.1701430965164234e-09	1.3758851093586031e-09	2.5823098194903736e-09
b'3'	5760000	5775000	1304	1.9255978147323656e-09	1.0524321693892444e-09	2.388348602421014e-09
b'3'	5775000	5790000	1139	5.8069862696112e-10	8.949537388872795e-11	1.5191156543796009e-09
b'3'	5790000	5805000	825	1.0593619768186841e-09	3.3903324543362824e-10	1.8530038124022979e-09
b'3'	5805000	5820000	1225	2.596662859171955e-10	0	1.2232432985420344e-09
b'3'	5820000	5835000	1021	5.725477000759078e-10	8.134444700351582e-11	1.5109647274943888e-09
b'3'	5835000	5850000	1006	9.921243562492226e-10	2.484328423222752e-10	1.8228078671154593e-09
b'3'	5850000	5865000	619	2.2798802259853785e-10	0	1.1430470122907791e-09
b'3'	5865000	5880000	1234	7.091742640237349e-10	1.6458529565844557e-10	1.6414989370434695e-09
b'3'	5880000	5895000	1093	1.987251802129768e-09	1.17854521987381e-09	2.4275167655047823e-09
b'3'	5895000	5910000	982	1.6524698190406241e-09	7.897404547035571e-10	2.126814715735469e-09
b'3'	5910000	5925000	923	8.979842715700265e-11	0	8.971619976000896e-10
b'3'	5925000	5940000	804	3.0019119340870465e-10	0	1.223597666916231e-09
b'3'	5940000	5955000	891	2.2355220267754216e-09	1.404223391291276e-09	2.6042766258536795e-09
